Scenario;Replication;LostDays_SOPaper;LostDays_SOBright;LostDays_SOKoala;CostoTotalTransp;InvPromKoala;InvPromBright;InvPromPaper;CostoTotalInv;DiasPerdidosClima;StockOutKoala;MaxTalado;PromTalado;EspPromPesEntradKoala;EspPromPesEntradaPaper;EspPromPesEntradBright;N_reparaciones;MultasBright;MultasPaper;MultasKoala;StockOutBright;StockOutPaper
Scenario1;1;0;0;0;58125191,51;46199,8053;44191,20735;35528,24929;755515,5716;5,2;0;108410,2104;94226,12778;0,261722447;0,600523706;0,207026422;3271;0;0;0;0;0
Scenario1;2;0;0;0;58281706,26;42669,91406;44973,9061;35759,39834;740419,311;3,12;0;107082,077;94324,08384;0,25939184;0,601980611;0,206816339;3228;0;0;0;0;0
Scenario1;3;0;0;0;58322163,39;42917,40013;45116,94643;35582,84692;741703,1609;2,08;0;107219,489;94403,76549;0,26189729;0,605897714;0,210739719;3203;0;0;0;0;0
Scenario1;4;0;0;0;58187841,66;43567,19374;45213,80214;35840,97993;747731,8549;3,12;0;106637,3293;94252,02681;0,262749756;0,604814198;0,208482031;3188;0;0;0;0;0
Scenario1;5;0;0;0;58223236,33;43095,96069;45890,75839;35463,56498;746701,7043;5,2;0;106756,615;94235,13381;0,264984291;0,598558088;0,209762105;3226;0;0;0;0;0
Scenario1;6;0;0;0;58304145,03;42254,34508;45202,17148;35499,57872;737736,5716;2,08;0;106377,6741;94307,16408;0,261956613;0,612206736;0,206899837;3205;0;0;0;0;0
Scenario1;7;0;0;0;58241065,91;43071,10886;45661,16966;35777,61033;747059,333;5,2;0;106961,8246;94268,31576;0,264528245;0,606416928;0,206446159;3249;0;0;0;0;0
Scenario1;8;0;0;0;58087756,99;44789,37614;50000,74333;36592,30624;788294,5543;5,2;0;106211,2177;94179,32307;0,266694298;0,602049781;0,209634181;3234;0;0;0;0;0
Scenario1;9;0;0;0;58284473,04;41679,75967;50732,75966;35709,52406;768732,2603;4,16;0;105826,0745;94307,77536;0,26718885;0,604485083;0,21016229;3207;0;0;0;0;0
Scenario1;10;0;0;0;58081320,85;46676,11706;45068,63046;35800,6544;765272,4115;7,28;0;107553,6284;94229,10707;0,260356243;0,600879651;0,208512071;3251;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;;
;;;;;58,12519151;;;;;;;;;;;;;;;;;
;;;;;58,28170626;;;;;;;;;;;;;;;;;
;;;;;58,32216339;;;;;;;;;;;;;;;;;
;;;;;58,18784166;;;;;;;;;;;;;;;;;
;;;;;58,22323633;;;;;;;;;;;;;;;;;
;;;;;58,30414503;;;;;;;;;;;;;;;;;
;;;;;58,24106591;;;;;;;;;;;;;;;;;
;;;;;58,08775699;;;;;;;;;;;;;;;;;
;;;;;58,28447304;;;;;;;;;;;;;;;;;
;;;;;58,08132085;;;;;;;;;;;;;;;;;
