#distancias aserraderos-molinos
param d: 1	2	3:=
1	11	8	12
2	9	6	10
3	9	6	10
4	10	6	7
5	10	6	7
6	9	8	5
7	9	8	5
8	10	9	6
9	11	10	7
10	10	7	11
11	10	7	11
12	8	5	9
13	8	5	9
14	9	5	6
15	9	5	6
16	8	7	4
17	8	7	4
18	10	9	6
19	11	10	7
20	12	11	8
21	9	6	10
22	9	6	10
23	7	4	8
24	7	4	8
25	8	4	5
26	8	4	5
27	7	6	3
28	7	6	3
29	8	7	4
30	9	8	5
31	10	9	6
32	8	5	9
33	7	4	8
34	6	3	7
35	5	2	6
36	7	3	4
37	6	5	2
38	8	7	4
39	9	8	5
40	10	9	6
41	8	5	9
42	7	4	8
43	6	3	7
44	6	7	3
45	7	8	4
46	8	9	5
47	7	6	10
48	6	5	9
49	5	4	8
50	4	3	7
51	5	6	2
52	6	7	3
53	7	8	4
54	8	9	5
55	7	6	10
56	6	5	9
57	5	4	8
58	4	3	7
59	3	7	4
60	4	8	5
61	5	9	6
62	6	10	7
63	7	8	12
64	6	7	11
65	5	6	10
66	3	4	8
67	3	4	8
68	2	6	5
69	3	7	4
70	4	8	5
71	6	10	7
72	6	10	7
73	7	8	12
74	6	7	11
75	5	6	10
76	4	5	9
77	4	5	9
78	3	7	6
79	3	7	6
80	5	9	6
81	5	9	6
82	7	11	8
83	7	11	8
84	8	9	13
85	7	8	12
86	6	7	11
87	5	6	10
88	4	8	7
89	4	8	7
90	6	10	7
91	6	10	7
92	8	12	9
93	7	8	12
94	6	7	11
95	5	6	10
96	5	6	10
97	5	9	8
98	5	9	8
99	7	11	8
100	7	11	8
