Scenario;Replication;CostoTotalTransp;InvPromBright;InventPromKoala;InvPromPaper;CostoTotalInvent;DiasPerdidosClima;StockoutsPaper;MaxTalado;PromTalado;EspPromPesajeEntradaKoala;EspPromPesajeEntradaPaper;EspPromPesajeEntradaBright;N_reparaciones;LostDays_SOPaper;LostDays_SOBright;LostDays_SOKoala;MultasBright;MultasKoala;MultasPaper;StockOutBright;StockOutKoala
Scenario1;1;78307301;27967;31345;46767;892852;0,02;16;108215,4287;95046,17437;0,094568441;0,391762006;0,138817397;4801;59,9491681;45,02225046;15,50931186;7;6;7;11;3
Scenario1;2;81117393;79949;38627;46945;973902;0,02;17;108718,327;95084,53889;0,095772364;0,393295895;0,139864236;4819;63,5322428;48,21750372;17,2146538;7;9;10;14;5
Scenario1;3;81421142;81608;45124;47379;1008647;0,03;18;108760,3491;95147,34657;0,095982692;0,395046261;0,144298024;4863;66,71905472;52,01870486;18,97471236;10;12;13;14;6
Scenario1;4;81434478;82102;64477;47524;1051460;0,03;19;108982,6462;95182,31873;0,096486353;0,397862257;0,144711634;4907;69,57517167;56,5144035;19,74368784;11;12;18;15;7
Scenario1;5;81528116;82549;68680;47693;1186124;0,04;21;109035,4953;95266,06279;0,096757736;0,398038424;0,144885933;4986;82,66839921;57,1832464;27,59507977;12;17;19;15;8
Scenario1;6;81618683;82595;70023;47803;1193077;0,05;22;109290,4394;95410,87494;0,096926018;0,399139137;0,14488956;5143;93,13400759;59,00495648;34,73815123;12;18;21;15;8
Scenario1;7;81695613;82943;70471;48211;1198169;0,05;23;109935,9679;95521,99834;0,097688722;0,399351942;0,146679741;5144;97,32154571;59,44358794;37,19899523;12;18;22;16;8
Scenario1;8;81732210;82946;72053;48323;1199484;0,05;24;110194,6255;95533,19431;0,098651538;0,403055665;0,148416567;5157;106,5631059;66,76115095;54,46439082;13;31;24;17;11
Scenario1;9;81820712;83485;72571;48423;1199804;0,05;25;110819,215;96003,09617;0,099053939;0,403319388;0,192200379;5157;119,770962;74,08120365;163,6253843;26;47;24;18;15
Scenario1;10;81940098;84422;72630;48789;1223019;0,07;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;113833,9462;97376,68971;0,101932421;0,404730527;0,229389375;5193;130,5810414;1728,554047;314,8844414;36;47;27;196;38
;;;;;;;;;;;;;;;;;;;;;;
;;78,31;;;;0,893;;;;;;;;;;;;;;;;
;;81,12;;;;0,974;;;;;;;;;;;;;;;;
;;81,42;;;;1,009;;;;;;;;;;;;;;;;
;;81,43;;;;1,051;;;;;;;;;;;;;;;;
;;81,53;;;;1,186;;;;;;;;;;;;;;;;
;;81,62;;;;1,193;;;;;;;;;;;;;;;;
;;81,70;;;;1,198;;;;;;;;;;;;;;;;
;;81,73;;;;1,199;;;;;;;;;;;;;;;;
;;81,82;;;;1,200;;;;;;;;;;;;;;;;
;;81,94;;;;1,223;;;;;;;;;;;;;;;;
