Time(Hours),EntityID,ObjectName,ProcessID,StepName,Action
"0,0763888888888889",--,--,--,--,Firing event 'CreacionEntidades1.Event'.
"0,0763888888888889",--,--,--,--,Firing event 'ControlAserradero.Event'.
"0,0763888888888889",Model,Model,20.CreacionAserradero,[Begin],Process 'CreacionAserradero' started.
"0,0763888888888889",Model,Model,20.CreacionAserradero,[Decide] Decide1,Token branching on condition 'CamionesActivos[1] < NodosAserraderos[1].MaxCam'.
"0,0763888888888889",Model,Model,20.CreacionAserradero,[Decide] Decide1,Token sent to 'False' exit.
"0,0763888888888889",Model,Model,20.CreacionAserradero,[End],Process 'CreacionAserradero' ended.
"0,0805555555555555",--,--,--,--,Firing event 'CreacionEntidades1.Event'.
"0,0805555555555555",--,--,--,--,Firing event 'ControlAserradero.Event'.
"0,0805555555555555",Model,Model,20.CreacionAserradero,[Begin],Process 'CreacionAserradero' started.
"0,0805555555555555",Model,Model,20.CreacionAserradero,[Decide] Decide1,Token branching on condition 'CamionesActivos[1] < NodosAserraderos[1].MaxCam'.
"0,0805555555555555",Model,Model,20.CreacionAserradero,[Decide] Decide1,Token sent to 'False' exit.
"0,0805555555555555",Model,Model,20.CreacionAserradero,[End],Process 'CreacionAserradero' ended.
"0,0843053521091745",Camion.1049,Output@Aserradero100,20.OnExited,[Begin],Process 'Output@Aserradero100.OnExited' started.
"0,0843053521091745",Camion.1049,Output@Aserradero100,20.OnExited,[Fire] ExitedEvent,Firing event 'Output@Aserradero100.Exited'.
"0,0843053521091745",Camion.1049,Output@Aserradero100,20.OnExited,[End],Process 'Output@Aserradero100.OnExited' ended.
"0,0843053521091745",Camion.1050,Output@Aserradero88,20.OnExited,[Begin],Process 'Output@Aserradero88.OnExited' started.
"0,0843053521091745",Camion.1050,Output@Aserradero88,20.OnExited,[Fire] ExitedEvent,Firing event 'Output@Aserradero88.Exited'.
"0,0843053521091745",Camion.1050,Output@Aserradero88,20.OnExited,[End],Process 'Output@Aserradero88.OnExited' ended.
"0,0843053521091745",Camion.1051,Output@Aserradero10,20.OnExited,[Begin],Process 'Output@Aserradero10.OnExited' started.
"0,0843053521091745",Camion.1051,Output@Aserradero10,20.OnExited,[Fire] ExitedEvent,Firing event 'Output@Aserradero10.Exited'.
"0,0843053521091745",Camion.1051,Output@Aserradero10,20.OnExited,[End],Process 'Output@Aserradero10.OnExited' ended.
"0,0843053521091745",Camion.1052,Output@Aserradero11,20.OnExited,[Begin],Process 'Output@Aserradero11.OnExited' started.
"0,0843053521091745",Camion.1052,Output@Aserradero11,20.OnExited,[Fire] ExitedEvent,Firing event 'Output@Aserradero11.Exited'.
"0,0843053521091745",Camion.1052,Output@Aserradero11,20.OnExited,[End],Process 'Output@Aserradero11.OnExited' ended.
"0,0843053521091745",Camion.1053,Output@Aserradero55,20.OnExited,[Begin],Process 'Output@Aserradero55.OnExited' started.
"0,0843053521091745",Camion.1053,Output@Aserradero55,20.OnExited,[Fire] ExitedEvent,Firing event 'Output@Aserradero55.Exited'.
"0,0843053521091745",Camion.1053,Output@Aserradero55,20.OnExited,[End],Process 'Output@Aserradero55.OnExited' ended.
"0,0843053521091745",Camion.1054,Output@Aserradero4,20.OnExited,[Begin],Process 'Output@Aserradero4.OnExited' started.
"0,0843053521091745",Camion.1054,Output@Aserradero4,20.OnExited,[Fire] ExitedEvent,Firing event 'Output@Aserradero4.Exited'.
"0,0843053521091745",Camion.1054,Output@Aserradero4,20.OnExited,[End],Process 'Output@Aserradero4.OnExited' ended.
"0,0843053521091745",Camion.1055,Output@Aserradero53,20.OnExited,[Begin],Process 'Output@Aserradero53.OnExited' started.
"0,0843053521091745",Camion.1055,Output@Aserradero53,20.OnExited,[Fire] ExitedEvent,Firing event 'Output@Aserradero53.Exited'.
"0,0843053521091745",Camion.1055,Output@Aserradero53,20.OnExited,[End],Process 'Output@Aserradero53.OnExited' ended.
"0,0843053521091745",Camion.1056,Output@Aserradero61,20.OnExited,[Begin],Process 'Output@Aserradero61.OnExited' started.
