Scenario,Replication,CostoTotalTransp,InventPromKoala,InventPromPaper,InventPromBright,CostoTotalInvent,DiasPerdidosClima,N_stockouts,MaxTalado,PromTalado,EspPromPesajeEntradaKoala,EspPromPesajeEntradaPaper,EspPromPesajeEntradaBright,N_reparaciones,LostDays_SOPaper,LostDays_SOBright,LostDays_SOKoala
Scenario1,1,"76970217,9636362","67248,7197534243","45034,0990079522","20700,8631470471","810727,667759216",2,224,"129476,359457949","95895,3284288301","0,120331753832455","0,433080077241109","0,219076002942272",1017,"77,7528320098891","340,536725433201","17,9692952965182"
Scenario1,2,"77619811,9436001","67592,9925539094","45050,1329261019","20709,9395483542","815739,262763995",2,232,"129510,065293252","96261,3105290136","0,130718256821914","0,433391983489956","0,22144041301028",1018,"97,0304501421491","370,475287067806","30,2037420576635"
Scenario1,3,"77691015,7159883","68455,6892180212","45206,3173476898","20881,1261740405","817320,635314454",3,242,"129856,185707304","96340,4292721925","0,131625606700619","0,43500435199012","0,22152344393714",1018,"98,6460936235619","530,839184113643","32,3776502030968"
Scenario1,4,"77744285,863843","68788,4249737131","45258,8330494348","21949,7506039538","817784,396917332",3,244,"130213,715486346","96366,5501945423","0,132028466344473","0,437461074486856","0,223167839395315",1019,"98,8433989020065","591,974005805484","39,412913002856"
Scenario1,5,"77767860,3248717","69116,2844947735","45396,4447927926","22710,6622716116","819071,63755586",4,251,"131452,546988078","96397,8062287588","0,132204544611917","0,437683804772157","0,225103551356096",1019,"107,050151179555","639,415186359699","39,848275277892"
Scenario1,6,"77908004,2671293","69195,2682039587","45437,1259116393","23006,1174485202","824735,386052997",5,258,"131610,660080621","96445,5280789869","0,132370476866588","0,44084708968056","0,226743719059164",1021,"107,142191257389","790,94751635936","43,1599281976476"
Scenario1,7,"77914491,187688","69386,3158048701","45537,3010936889","23611,5538211584","826244,560312038",5,267,"131875,047721948","96471,5293345264","0,134145831821649","0,442571422703832","0,228268625276602",1021,"169,336213061814","882,972829027527","45,6205836290014"
Scenario1,8,"78034772,3116472","69620,282419912","45657,806546589","23660,1686955251","827171,6062629",5,271,"131965,801706367","96526,4904745254","0,134739168077098","0,443024434784616","0,229008365546613",1022,"1187,58053489955","1008,64997042555","46,304202318633"
Scenario1,9,"78068819,8508224","69709,303151956","45956,0039015798","26239,6305613592","836942,577971146",5,272,"132313,874286685","96561,1829336446","0,136588135793458","0,443396501849961","0,230489241812778",1022,"1199,74529026191","1265,87120758785","63,5032753216333"
Scenario1,10,"78550320,8754718","70132,6623640122","46389,8625767722","26688,0378396026","850228,590313842",7,291,"132972,933068246","96737,7667420511","0,137342612614622","0,448993911666182","0,232143457998746",1026,"3045,20822376841","1505,38873427119","65,8598388873533"
