Scenario,Replication,LostDays_SOPaper,LostDays_SOBright,LostDays_SOKoala,MultasPaper,MultasKoala,MultasBright
Scenario1,1,"10,645353510478","76,4567517156549","4,99820319929997",30000000,14000000,24000000
Scenario1,2,"9,03690913378743","86,2156599104286","5,71249759267768",41000000,8000000,19000000
Scenario1,3,"9,83364875160252","85,2471947916065","4,27821121730187",21000000,2000000,16000000
Scenario1,4,"9,01339541434974","64,6985880110002","4,2321850839986",18000000,9000000,12000000
Scenario1,5,"10,9870312643338","83,6386858756979","6,08879469930328",37000000,19000000,10000000
Scenario1,6,"12,0143026646076","74,6408374150371","5,85080758011223",27000000,6000000,27000000
Scenario1,7,"10,7092092306794","79,8414099705636","4,14480991461905",24000000,13000000,29000000
Scenario1,8,"10,1345127191743","77,9925736901652","4,71427549638152",28000000,7000000,8000000
Scenario1,9,"9,39807396533369","83,061423840392","5,66575610489389",29000000,11000000,20000000
Scenario1,10,"15,3233394314382","94,2433036019608","9,86802227538241",33000000,11000000,23000000
