Scenario,Replication,CostoTotalTransp,InventPromKoala,InventPromPaper,InventPromBright,CostoTotalInvent,DiasPerdidosClima,N_stockouts,MaxTalado,PromTalado,EspPromPesajeEntradaKoala,EspPromPesajeEntradaPaper,EspPromPesajeEntradaBright,N_reparaciones,LostDays_SOPaper,LostDays_SOBright,LostDays_SOKoala,MultasBright,MultasKoala,MultasPaper
Scenario1,1,"57944896,7057333","45158,8567458375","28286,091283218","19110,1373226891","651744,238118741",0,0,"116811,159872363","94172,9748200611","0,258214191799403","0,684881533777054","0,253653396671105",0,0,0,0,2000000,0,3000000
Scenario1,2,"58046326,7919927","51902,4521045248","28639,769490229","19698,3890136466","661801,600194107",0,0,"117240,650230118","94187,3847169401","0,26267265624682","0,695596736915783","0,256061113337017",0,0,0,0,3000000,0,22000000
Scenario1,3,"58063057,5259249","59420,7232832616","29653,9315592145","19947,930600452","668190,487157149",0,62,"117434,037797793","94244,2220671194","0,263718757075604","0,69587687264012","0,256899536653831",0,0,"1231,14420943192",0,3000000,0,58000000
Scenario1,4,"58076518,4249296","60847,09667445","29981,2140047922","20555,2050188771","671131,571654067",0,65,"117710,104379501","94266,3575284489","0,264508223074366","0,697193074462813","0,257298170062446",0,0,"1329,11550218276",0,6000000,0,100000000
Scenario1,5,"58175713,7390596","60981,4263409213","31125,5749975202","21191,0312671579","681255,082668801",0,66,"117824,194706677","94268,7458246859","0,26488606990037","0,697361984694","0,257499892550953",0,0,"1672,09392414339",0,7000000,0,105000000
Scenario1,6,"58183133,0221499","61891,2789586116","31126,8468790021","23251,2985608766","686427,817475527",0,71,"118010,972536753","94297,1903597466","0,265984592221215","0,698913642222661","0,257968324444727",0,0,"1988,68230648088",0,7000000,0,117000000
Scenario1,7,"58318331,4243977","62504,4854396845","31213,6712407516","24595,9538512888","692047,495754214",0,75,"118136,01888967","94325,9702613287","0,266111056311555","0,698967089824996","0,259060737569119",0,0,"2054,48200096557",0,9000000,0,123000000
Scenario1,8,"58358842,3204349","64325,8575831136","31245,8668154547","25293,2215449517","711712,081507073",0,76,"118216,173203245","94396,5677298744","0,266551944704969","0,699667252526171","0,259446387030001",0,0,"2104,22475393084",0,10000000,0,128000000
Scenario1,9,"58644883,2516421","64811,5507712148","32055,0978137637","30668,9658423131","718131,73724411",0,82,"118279,335775719","94420,3756618766","0,27006571230213","0,705990355454929","0,26133770196639",0,0,"2121,64785645482",0,81000000,0,136000000
Scenario1,10,"58773934,7600598","65668,6669839428","33638,8169707183","37006,6221908113","722928,557081685",0,101,"119008,295697733","94423,8359656928","0,270341357432962","0,706551408210172","0,261669703836193",0,"97,2220012131341","2688,35931096619",0,130000000,0,224000000
